"","TR"
"1874",6.79
"1875",6.77
"1876",6.86
"1877",6.89
"1878",6.87
"1879",6.94
"1880",6.95
"1881",6.96
"1882",6.99
"1883",7.05
"1884",7.08
"1885",7.11
"1886",7.12
"1887",7.13
"1888",7.16
"1889",7.2
"1890",7.18
"1891",7.15
"1892",7.19
"1893",7.16
"1894",7.17
"1895",7.1
"1896",7.08
"1897",7.13
"1898",7.12
"1899",7.17
"1900",7.19
"1901",7.18
"1902",7.2
"1903",7.19
"1904",7.25
"1905",7.25
"1906",7.3
"1907",7.33
"1908",7.27
"1909",7.21
"1910",7.21
"1911",7.19
"1912",7.21
"1913",7.24
"1914",7.28
"1915",7.35
"1916",7.4
"1917",7.42
"1918",7.4
"1919",7.37
"1920",7.43
"1921",7.5
"1922",7.53
"1923",7.63
"1924",7.74
"1925",7.72
"1926",7.77
"1927",7.76
"1928",7.77
"1929",7.66
"1930",7.67
"1931",7.78
"1932",7.81
"1933",7.76
"1934",7.83
"1935",7.79
"1936",7.73
"1937",7.65
"1938",7.7
"1939",7.58
"1940",7.53
"1941",7.5
"1942",7.44
"1943",7.34
"1944",7.36
"1945",7.43
"1946",7.53
"1947",7.55
"1948",7.45
"1949",7.4
"1950",7.39
"1951",7.39
"1952",7.3
"1953",7.46
"1954",7.5
"1955",7.48
"1956",7.49
"1957",7.55
"1958",7.53
"1959",7.54
"1960",7.65
"1961",7.67
"1962",7.68
"1963",7.51
"1964",7.48
"1965",7.39
"1966",7.33
"1967",7.28
"1968",7.37
"1969",7.19
"1970",7.03
"1971",6.7
"1972",5.54
"1973",5.57
"1974",6.05
"1975",5.81
"1976",5.78
"1977",5.3
"1978",5.38
"1979",5.37
"1980",5.62
"1981",5.82
"1982",5.91
"1983",5.8
"1984",5.76
"1985",5.88
"1986",5.82
"1987",5.68
"1988",5.58
"1989",5.63
"1990",5.77
"1991",5.73
"1992",5.74
"1993",5.66
"1994",5.71
"1995",5.6
"1996",5.62
"1997",5.65
"1998",5.72
"1999",5.69
"2000",5.63
"2001",5.41
"2002",5.44
"2003",5.46
"2004",5.29
"2005",5.24
"2006",5.33
"2007",5.45
"2008",5.54
"2009",5.45
"2010",5.48
"2011",5.63
"2012",5.66
"2013",5.77
"2014",5.69
"2015",5.82
"2016",5.84
"2017",5.84
"2018",5.91
"2019",5.9
"2020",5.76
"2021",5.74
"2022",5.81
"2023",5.8
"2024",5.99
"2025",6.07
"2026",6.09
"2027",6.13
"2028",5.79
"2029",5.84
"2030",5.79
"2031",5.8
"2032",5.8
"2033",5.94
"2034",5.94
"2035",5.9
"2036",5.76
"2037",5.77
"2038",5.84
"2039",5.95
"2040",5.9
"2041",5.9
"2042",5.98
"2043",6.05
"2044",6.03
"2045",6.05
"2046",5.98
"2047",5.98
"2048",5.97
"2049",5.93
"2050",5.98
"2051",6.09
"2052",6.09
"2053",6.12
"2054",6.17
"2055",6.16
"2056",6.14
"2057",6.21
"2058",6.29
"2059",6.29
"2060",6.29
"2061",6.25
"2062",6.26
"2063",6.37
"2064",6.37
"2065",6.39
"2066",6.4
"2067",6.39
"2068",6.4
"2069",6.45
"2070",6.46
"2071",6.35
"2072",6.37
"2073",6.39
"2074",6.39
"2075",6.44
"2076",6.5
"2077",6.5
"2078",6.45
"2079",6.45
"2080",6.47
"2081",6.35
"2082",6.26
"2083",6.24
"2084",6.28
"2085",6.25
"2086",6.27
"2087",6.21
"2088",6.26
"2089",6.39
"2090",6.41
"2091",6.48
"2092",6.5
"2093",6.53
"2094",6.53
"2095",6.29
"2096",6.28
"2097",6.28
"2098",6.26
"2099",6.22
"2100",6.22
"2101",6.29
"2102",6.33
"2103",6.37
"2104",6.37
"2105",6.35
"2106",6.34
"2107",6.34
"2108",6.37
"2109",6.33
"2110",6.29
"2111",6.27
"2112",6.25
"2113",6.26
"2114",6.17
"2115",6.18
"2116",6.24
"2117",6.28
"2118",6.22
"2119",6.13
"2120",6.15
"2121",6.15
"2122",6.11
"2123",6.16
"2124",6.18
"2125",6.2
"2126",6.18
"2127",6.35
"2128",6.45
"2129",6.43
"2130",6.46
"2131",6.48
"2132",6.45
"2133",6.58
"2134",6.57
"2135",6.59
"2136",6.59
"2137",6.65
"2138",6.66
"2139",6.58
"2140",6.59
"2141",6.56
"2142",6.61
"2143",6.69
"2144",6.68
"2145",6.67
"2146",6.58
"2147",6.64
"2148",6.62
"2149",6.68
"2150",6.65
"2151",6.73
"2152",6.66
"2153",6.66
"2154",6.62
"2155",6.63
"2156",6.58
"2157",6.6
"2158",6.62
"2159",6.65
"2160",6.63
"2161",6.58
"2162",6.61
"2163",6.54
"2164",6.48
"2165",6.49
"2166",6.5
"2167",6.45
"2168",6.51
"2169",6.63
"2170",6.64
"2171",6.64
"2172",6.66
"2173",6.65
"2174",6.63
"2175",6.61
"2176",6.54
"2177",6.43
"2178",6.45
"2179",6.44
"2180",6.36
"2181",6.4
"2182",6.41
"2183",6.42
"2184",6.41
"2185",6.34
"2186",6.34
"2187",6.42
"2188",6.38
"2189",6.39
"2190",6.45
"2191",6.46
"2192",6.44
"2193",6.38
"2194",6.49
"2195",6.52
"2196",6.53
"2197",6.54
"2198",6.56
"2199",6.55
"2200",6.57
"2201",6.61
"2202",6.59
"2203",6.64
"2204",6.61
"2205",6.63
"2206",6.64
"2207",6.62
"2208",6.63
"2209",6.61
"2210",6.6
"2211",6.62
"2212",6.69
"2213",6.69
"2214",6.67
"2215",6.66
"2216",6.69
"2217",6.7
"2218",6.81
"2219",6.82
"2220",6.81
"2221",6.73
"2222",6.75
"2223",6.76
"2224",6.77
"2225",6.83
"2226",6.79
"2227",6.9
"2228",6.91
"2229",6.89
"2230",6.89
"2231",6.87
"2232",6.78
"2233",6.8
"2234",6.82
"2235",6.81
"2236",6.81
"2237",6.82
"2238",6.77
"2239",6.7
"2240",6.73
"2241",6.7
"2242",6.71
"2243",6.59
"2244",6.58
"2245",6.59
"2246",6.49
"2247",6.5
"2248",6.54
"2249",6.53
"2250",6.55
"2251",6.59
"2252",6.56
"2253",6.58
"2254",6.63
"2255",6.7
"2256",6.69
"2257",6.68
"2258",6.74
"2259",6.79
"2260",6.8
"2261",6.77
"2262",6.78
"2263",6.77
"2264",6.77
"2265",6.75
"2266",6.73
"2267",6.77
"2268",6.82
"2269",6.8
"2270",6.8
"2271",6.79
"2272",6.82
"2273",6.8
"2274",6.81
"2275",6.86
"2276",6.84
"2277",6.79
"2278",6.88
"2279",6.9
"2280",6.92
"2281",6.93
"2282",6.92
"2283",6.95
"2284",6.98
"2285",6.99
"2286",7
"2287",6.99
"2288",7.06
"2289",7.07
"2290",7.07
"2291",7.03
"2292",7.1
"2293",7.12
"2294",7.18
"2295",7.23
"2296",7.25
"2297",7.31
"2298",7.31
"2299",7.32
"2300",7.33
"2301",7.32
"2302",7.39
"2303",7.38
"2304",7.33
"2305",7.24
"2306",7.24
"2307",7.24
"2308",7.29
"2309",7.31
"2310",7.35
"2311",7.33
"2312",7.23
"2313",7.25
"2314",7.16
"2315",7.16
"2316",7.19
"2317",7.16
"2318",7.23
"2319",7.26
"2320",7.33
"2321",7.32
"2322",7.33
"2323",7.32
"2324",7.31
"2325",7.35
"2326",7.35
"2327",7.38
"2328",7.44
"2329",7.29
"2330",7.22
"2331",7.26
"2332",7.24
"2333",7.21
"2334",7.24
"2335",7.27
"2336",7.29
"2337",7.29
"2338",7.35
"2339",7.39
"2340",7.37
"2341",7.39
"2342",7.37
"2343",7.42
"2344",7.42
"2345",7.45
"2346",7.47
"2347",7.41
"2348",7.51
"2349",7.52
"2350",7.61
"2351",7.64
"2352",7.62
"2353",7.68
"2354",7.67
"2355",7.64
"2356",7.65
"2357",7.71
"2358",7.71
"2359",7.71
"2360",7.69
"2361",7.7
"2362",7.7
"2363",7.7
"2364",7.66
"2365",7.65
"2366",7.66
"2367",7.69
"2368",7.83
"2369",7.88
"2370",7.87
"2371",7.92
"2372",7.94
"2373",8
"2374",8.02
"2375",7.95
"2376",7.97
"2377",7.98
"2378",8.04
"2379",7.99
"2380",8.03
"2381",8.06
"2382",8.14
"2383",8.08
"2384",8.12
"2385",8.19
"2386",8.19
"2387",8.19
"2388",8.18
"2389",8.13
"2390",8.12
"2391",8.04
"2392",8.06
"2393",8.07
"2394",8.06
"2395",8.04
"2396",8.08
"2397",8.2
"2398",8.17
"2399",8.22
"2400",8.16
"2401",8.02
"2402",7.98
"2403",8
"2404",8.03
"2405",8.07
"2406",8.14
"2407",8.19
"2408",8.23
"2409",8.26
"2410",8.26
"2411",8.3
"2412",8.32
"2413",8.3
"2414",8.39
"2415",8.34
"2416",8.38
"2417",8.33
"2418",8.34
"2419",8.42
"2420",8.51
"2421",8.52
"2422",8.61
"2423",8.57
"2424",8.59
"2425",8.61
"2426",8.59
"2427",8.71
"2428",8.72
"2429",8.68
"2430",8.71
"2431",8.65
"2432",8.61
"2433",8.64
"2434",8.66
"2435",8.64
"2436",8.66
"2437",8.56
"2438",8.56
"2439",8.63
"2440",8.78
"2441",8.77
"2442",8.8
"2443",8.76
"2444",8.79
"2445",8.8
"2446",8.85
"2447",8.84
"2448",8.77
"2449",8.75
"2450",8.76
"2451",8.74
"2452",8.77
"2453",8.71
"2454",8.64
"2455",8.66
"2456",8.69
"2457",8.7
"2458",8.7
"2459",8.69
"2460",8.72
"2461",8.66
"2462",8.67
"2463",8.68
"2464",8.76
"2465",8.79
"2466",8.83
"2467",8.92
"2468",8.97
"2469",8.98
"2470",9.02
"2471",9.04
"2472",9.03
"2473",8.98
"2474",8.95
"2475",8.46
"2476",8.6
"2477",8.56
"2478",8.59
"2479",8.72
"2480",8.72
"2481",8.66
"2482",8.62
"2483",8.6
"2484",8.5
"2485",8.42
"2486",8.42
"2487",8.53
"2488",8.56
"2489",8.51
"2490",8.49
"2491",8.38
"2492",8.42
"2493",8.51
"2494",8.48
"2495",8.54
"2496",8.55
"2497",8.52
"2498",8.57
"2499",8.57
"2500",8.6
"2501",8.55
"2502",8.54
"2503",8.59
"2504",8.64
"2505",8.67
"2506",8.69
"2507",8.64
"2508",8.68
"2509",8.77
"2510",8.8
"2511",8.77
"2512",8.75
"2513",8.73
"2514",8.75
"2515",8.74
"2516",8.79
"2517",8.82
"2518",8.77
"2519",8.74
"2520",8.59
"2521",8.56
"2522",8.57
"2523",8.62
"2524",8.69
"2525",8.68
"2526",8.73
"2527",8.77
"2528",8.84
"2529",8.97
"2530",8.97
"2531",8.91
"2532",8.83
"2533",8.86
"2534",8.78
"2535",8.71
"2536",8.73
"2537",8.54
"2538",8.46
"2539",8.53
"2540",8.47
"2541",8.48
"2542",8.5
"2543",8.31
"2544",8.31
"2545",8.27
"2546",8.18
"2547",8.15
"2548",8.13
"2549",8.06
"2550",8.19
"2551",8.2
"2552",8.26
"2553",8.3
"2554",8.26
"2555",8.35
"2556",8.34
"2557",8.36
"2558",8.29
"2559",8.3
"2560",8.32
"2561",8.39
"2562",8.35
"2563",8.24
"2564",8.23
"2565",8.2
"2566",8.15
"2567",8.23
"2568",8.28
"2569",8.32
"2570",8.35
"2571",8.42
"2572",8.39
"2573",8.48
"2574",8.46
"2575",8.54
"2576",8.5
"2577",8.51
"2578",8.46
"2579",8.48
"2580",8.5
"2581",8.58
"2582",8.62
"2583",8.57
"2584",8.54
"2585",8.44
"2586",8.47
"2587",8.49
"2588",8.56
"2589",8.57
"2590",8.54
"2591",8.53
"2592",8.49
"2593",8.6
"2594",8.55
"2595",8.54
"2596",8.52
"2597",8.54
"2598",8.56
"2599",8.56
"2600",8.62
"2601",8.62
"2602",8.62
"2603",8.53
"2604",8.46
"2605",8.39
"2606",8.3
"2607",8.28
"2608",8.32
"2609",8.33
"2610",8.25
"2611",8.28
"2612",8.32
"2613",8.37
"2614",8.4
"2615",8.46
"2616",8.52
"2617",8.55
"2618",8.56
"2619",8.6
"2620",8.77
"2621",8.84
"2622",8.84
"2623",8.83
"2624",8.85
"2625",8.86
"2626",8.95
"2627",8.96
"2628",8.98
"2629",8.98
"2630",8.9
"2631",9.02
"2632",9.03
"2633",9.04
"2634",9.09
"2635",9.19
"2636",9.18
"2637",9.15
"2638",9.11
"2639",9.01
"2640",9.08
"2641",9.18
"2642",9.16
"2643",9.11
"2644",9.11
"2645",8.97
"2646",9
"2647",9.01
"2648",9.03
"2649",8.94
"2650",8.87
"2651",8.86
"2652",8.92
"2653",8.98
"2654",9
"2655",9.03
"2656",9.04
"2657",8.95
"2658",9.01
"2659",9.03
"2660",8.98
"2661",9.07
"2662",9.17
"2663",9.21
"2664",9.25
"2665",9.21
"2666",9.13
"2667",9.15
"2668",9.07
"2669",8.91
"2670",8.91
"2671",8.94
"2672",8.93
"2673",8.87
"2674",8.89
"2675",8.91
"2676",8.89
"2677",8.79
"2678",8.63
"2679",8.35
"2680",8.37
"2681",8.46
"2682",8.52
"2683",8.42
"2684",8.48
"2685",8.5
"2686",8.52
"2687",8.35
"2688",8.22
"2689",8.22
"2690",8.06
"2691",7.94
"2692",7.68
"2693",7.79
"2694",8.03
"2695",8.04
"2696",8.1
"2697",7.99
"2698",8.07
"2699",8.08
"2700",8.11
"2701",8.03
"2702",8.09
"2703",8.07
"2704",8.05
"2705",8.08
"2706",7.99
"2707",7.95
"2708",7.97
"2709",7.98
"2710",7.93
"2711",7.81
"2712",7.8
"2713",7.63
"2714",7.71
"2715",7.63
"2716",7.52
"2717",7.63
"2718",7.83
"2719",7.86
"2720",7.77
"2721",7.78
"2722",7.75
"2723",7.79
"2724",7.6
"2725",7.48
"2726",7.35
"2727",7.44
"2728",7.51
"2729",7.4
"2730",7.4
"2731",7.57
"2732",7.7
"2733",7.77
"2734",7.73
"2735",7.73
"2736",7.68
"2737",7.56
"2738",7.49
"2739",7.52
"2740",7.53
"2741",7.59
"2742",7.71
"2743",7.78
"2744",7.73
"2745",7.61
"2746",7.64
"2747",7.78
"2748",7.93
"2749",7.91
"2750",7.97
"2751",7.9
"2752",7.9
"2753",7.94
"2754",7.86
"2755",7.87
"2756",7.85
"2757",7.88
"2758",7.93
"2759",7.94
"2760",7.91
"2761",8.04
"2762",8.1
"2763",8.16
"2764",8.25
"2765",8.24
"2766",8.21
"2767",8.23
"2768",8.19
"2769",8.26
"2770",8.26
"2771",8.19
"2772",8.16
"2773",8.26
"2774",8.27
"2775",8.28
"2776",8.3
"2777",8.27
"2778",8.29
"2779",8.24
"2780",8.25
"2781",8.29
"2782",8.21
"2783",8.11
"2784",8.09
"2785",7.96
"2786",7.93
"2787",7.86
"2788",7.94
"2789",7.94
"2790",7.87
"2791",7.89
"2792",7.97
"2793",8.24
"2794",8.32
"2795",8.31
"2796",8.26
"2797",8.31
"2798",8.43
"2799",8.47
"2800",8.48
"2801",8.49
"2802",8.62
"2803",8.7
"2804",8.7
"2805",8.84
"2806",8.94
"2807",9.1
"2808",9.07
"2809",9.13
"2810",9.34
"2811",9.29
"2812",9.37
"2813",9.27
"2814",9.38
"2815",9.39
"2816",9.29
"2817",9.29
"2818",9.31
"2819",9.36
"2820",9.26
"2821",9.37
"2822",9.37
"2823",9.45
"2824",9.46
"2825",9.64
"2826",9.63
"2827",9.64
"2828",9.62
"2829",9.56
"2830",9.48
"2831",9.58
"2832",9.57
"2833",9.55
"2834",9.53
"2835",9.41
"2836",9.44
"2837",9.42
"2838",9.44
"2839",9.5
"2840",9.66
"2841",9.66
"2842",9.66
"2843",9.58
"2844",9.77
"2845",9.78
"2846",9.81
"2847",9.72
"2848",9.78
"2849",9.68
"2850",9.66
"2851",9.77
"2852",9.83
"2853",9.85
"2854",10
"2855",10.07
"2856",10.03
"2857",9.92
"2858",9.83
"2859",9.85
"2860",9.88
"2861",9.8
"2862",9.79
"2863",9.66
"2864",9.69
"2865",9.8
"2866",9.82
"2867",9.83
"2868",9.81
"2869",9.76
"2870",9.78
"2871",9.9
"2872",9.74
"2873",9.76
"2874",9.64
"2875",9.54
"2876",9.63
"2877",9.63
"2878",9.63
"2879",9.7
"2880",9.73
"2881",9.71
"2882",9.78
"2883",9.88
"2884",9.91
"2885",10.01
"2886",10.08
"2887",10.06
"2888",10.05
"2889",10
"2890",9.96
"2891",9.87
"2892",9.85
"2893",9.89
"2894",9.79
"2895",9.81
"2896",9.92
"2897",9.88
"2898",9.84
"2899",9.75
"2900",9.75
"2901",9.79
"2902",9.62
"2903",9.61
"2904",9.62
"2905",9.69
"2906",9.63
"2907",9.78
"2908",9.77
"2909",9.68
"2910",9.69
"2911",9.78
"2912",9.77
"2913",9.77
"2914",9.8
"2915",9.88
"2916",9.94
"2917",9.92
"2918",9.92
"2919",10.01
"2920",9.99
"2921",9.95
"2922",9.87
"2923",9.84
"2924",9.9
"2925",9.9
"2926",9.95
"2927",10.04
"2928",10.08
"2929",10.07
"2930",10.08
"2931",10.03
"2932",10.15
"2933",10.17
"2934",10.15
"2935",10.11
"2936",10.13
"2937",10.18
"2938",10.2
"2939",10.19
"2940",10.11
"2941",9.87
"2942",9.94
"2943",10.21
"2944",10.24
"2945",10.3
"2946",10.3
"2947",10.29
"2948",10.37
"2949",10.37
"2950",10.36
"2951",10.28
"2952",10.22
"2953",10.2
"2954",10.2
"2955",10.19
"2956",10.08
"2957",10.1
"2958",10.17
"2959",10.08
"2960",10.12
"2961",10.12
"2962",10.15
"2963",10.19
"2964",10.22
"2965",10.17
"2966",10.22
"2967",10.2
"2968",10.2
"2969",10.18
"2970",10.24
"2971",10.27
"2972",10.24
"2973",10.15
"2974",10.09
"2975",10.03
"2976",10.06
"2977",9.97
"2978",10.05
"2979",10.08
"2980",10.2
"2981",10.33
"2982",10.4
"2983",10.37
"2984",10.39
"2985",10.33
"2986",10.29
"2987",10.29
"2988",10.21
"2989",10.18
"2990",10.3
"2991",10.36
"2992",10.42
"2993",10.43
"2994",10.4
"2995",10.37
"2996",10.35
"2997",10.38
"2998",10.47
"2999",10.47
"3000",10.49
"3001",10.58
"3002",10.6
"3003",10.59
"3004",10.22
"3005",10.27
"3006",10.11
"3007",10.1
"3008",10.14
"3009",10.05
"3010",10.02
"3011",10.06
"3012",10.04
"3013",10.03
"3014",10.17
"3015",10.18
"3016",10.16
"3017",10.11
"3018",10.15
"3019",10.13
"3020",10.12
"3021",10.1
"3022",10.19
"3023",10.26
"3024",10.28
"3025",10.23
"3026",10.24
"3027",10.2
"3028",10.3
"3029",10.53
"3030",10.62
"3031",10.77
"3032",10.84
"3033",11.06
"3034",11.13
"3035",11.12
"3036",11.18
"3037",11.18
"3038",11.19
"3039",11.23
"3040",11.26
"3041",11.2
"3042",11.18
"3043",11.33
"3044",11.37
"3045",11.31
"3046",11.32
"3047",11.25
"3048",11.12
"3049",11.27
"3050",11.23
"3051",11.24
"3052",11.22
"3053",11.22
"3054",11.11
"3055",11.16
"3056",11.11
"3057",11.13
"3058",11.24
"3059",11.27
"3060",11.28
"3061",11.22
"3062",11.27
"3063",11.27
"3064",11.38
"3065",11.28
"3066",11.26
"3067",11.13
"3068",11.13
"3069",11.27
"3070",11.21
"3071",11.21
"3072",11.16
"3073",11.3
"3074",11.28
"3075",11.26
"3076",11.27
"3077",11.28
"3078",11.19
"3079",11.1
"3080",11.04
"3081",11.05
"3082",11.11
"3083",11.03
"3084",11.02
"3085",11.07
"3086",11.07
"3087",11.15
"3088",11.15
"3089",11.17
"3090",11.19
"3091",11.16
"3092",11.13
"3093",11.12
"3094",11.1
"3095",10.99
"3096",10.97
"3097",10.98
"3098",10.99
"3099",10.88
"3100",10.88
"3101",10.98
"3102",10.78
"3103",10.67
"3104",10.85
"3105",10.93
"3106",10.98
"3107",11.13
"3108",11.22
"3109",11.19
"3110",11.02
"3111",11.01
"3112",11.01
"3113",11.03
"3114",10.98
"3115",10.96
"3116",10.95
"3117",11.03
"3118",11.13
"3119",11.09
"3120",11.2
"3121",11.22
"3122",11.22
"3123",11.21
"3124",11.21
"3125",11.27
"3126",11.22
"3127",11.21
"3128",11.12
"3129",11.06
"3130",11.12
"3131",11.2
"3132",11.2
"3133",11.13
"3134",11.16
"3135",11.08
"3136",11.1
"3137",11.2
"3138",11.2
"3139",11.25
"3140",11.19
"3141",11.21
"3142",11.17
"3143",11.17
"3144",11.15
"3145",11.06
"3146",10.98
"3147",11
"3148",11.03
"3149",11.03
"3150",10.98
"3151",10.81
"3152",10.76
"3153",10.83
"3154",10.81
"3155",10.84
"3156",10.83
"3157",10.81
"3158",10.81
"3159",10.96
"3160",10.97
"3161",11.09
"3162",11.06
"3163",11.11
"3164",10.99
"3165",11.01
"3166",11.12
"3167",11.14
"3168",11.16
"3169",11.23
"3170",11.22
"3171",11.23
"3172",11.17
"3173",11.12
"3174",11.14
"3175",11.06
"3176",11.09
"3177",11.09
"3178",11.09
"3179",11.23
"3180",11.35
"3181",11.4
"3182",11.41
"3183",11.44
"3184",11.43
"3185",11.37
"3186",11.34
"3187",11.31
"3188",11.31
"3189",11.3
"3190",11.26
"3191",11.26
"3192",11.32
"3193",11.34
"3194",11.35
"3195",11.28
"3196",11.28
"3197",11.19
"3198",11.07
"3199",11.08
"3200",11.13
"3201",11.16
"3202",11.18
"3203",11.17
"3204",11.22
"3205",11.28
"3206",11.3
"3207",11.27
"3208",11.21
"3209",11.26
"3210",11.35
"3211",11.35
"3212",11.51
"3213",11.39
"3214",11.38
"3215",11.38
"3216",11.44
"3217",11.42
"3218",11.31
"3219",11.3
"3220",11.34
"3221",11.22
"3222",11.26
"3223",11.27
"3224",11.31
"3225",11.26
"3226",11.12
"3227",11.03
"3228",11.05
"3229",10.99
"3230",11.08
"3231",10.96
"3232",11.06
"3233",11.11
"3234",11.12
"3235",11.13
"3236",11.18
"3237",11.28
"3238",11.3
"3239",11.32
"3240",11.3
"3241",11.29
"3242",11.38
"3243",11.39
"3244",11.45
"3245",11.48
"3246",11.44
"3247",11.54
"3248",11.48
"3249",11.43
"3250",11.48
"3251",11.48
"3252",11.52
"3253",11.54
"3254",11.64
"3255",11.65
"3256",11.65
"3257",11.61
"3258",11.56
"3259",11.65
"3260",11.68
"3261",11.77
"3262",11.73
"3263",11.8
"3264",11.85
"3265",11.88
"3266",11.92
"3267",11.92
"3268",11.89
"3269",11.9
"3270",11.97
"3271",12.04
"3272",12.08
"3273",12.05
"3274",12.01
"3275",11.99
"3276",11.97
"3277",11.95
"3278",11.91
"3279",12.02
"3280",12.15
"3281",12.14
"3282",12.13
"3283",12.12
"3284",12.14
"3285",12.13
"3286",12.13
"3287",12.16
"3288",12.13
"3289",12.1
"3290",12.08
"3291",12.1
"3292",12
"3293",11.96
"3294",12.01
"3295",12.01
"3296",12.07
"3297",12.16
"3298",12.21
"3299",12.21
"3300",12.18
"3301",12.15
"3302",12.2
"3303",12.23
"3304",12.32
"3305",12.33
"3306",12.26
"3307",12.26
"3308",12.28
"3309",12.38
"3310",12.4
"3311",12.52
"3312",12.59
"3313",12.55
"3314",12.53
"3315",12.45
"3316",12.47
"3317",12.51
"3318",12.44
"3319",12.1
"3320",12.05
"3321",12.03
"3322",12.09
"3323",12.07
"3324",12.06
"3325",12.24
"3326",12.29
"3327",12.33
"3328",12.31
"3329",12.46
"3330",12.52
"3331",12.47
"3332",12.45
"3333",12.65
"3334",12.66
"3335",12.72
"3336",12.68
"3337",12.59
"3338",12.63
"3339",12.62
"3340",12.54
"3341",12.62
"3342",12.56
"3343",12.51
"3344",12.5
"3345",12.48
"3346",12.56
"3347",12.52
"3348",12.57
"3349",12.62
"3350",12.64
"3351",12.6
"3352",12.35
"3353",12.36
"3354",12.31
"3355",12.35
"3356",12.33
"3357",12.49
"3358",12.53
"3359",12.52
"3360",12.5
"3361",12.51
"3362",12.46
"3363",12.4
"3364",12.38
"3365",12.29
"3366",12.22
"3367",12.09
"3368",12.2
"3369",12.22
"3370",12.25
"3371",12.3
"3372",12.36
"3373",12.44
"3374",12.48
"3375",12.44
"3376",12.42
"3377",12.45
"3378",12.49
"3379",12.49
"3380",12.35
"3381",12.35
"3382",12.37
"3383",12.38
"3384",12.56
"3385",12.65
"3386",12.55
"3387",12.58
"3388",12.62
"3389",12.74
"3390",12.73
"3391",12.68
"3392",12.77
"3393",12.78
"3394",12.75
"3395",12.68
"3396",12.6
"3397",12.5
"3398",12.54
"3399",12.52
"3400",12.57
"3401",12.59
"3402",12.57
"3403",12.59
"3404",12.62
"3405",12.51
"3406",12.55
"3407",12.54
"3408",12.49
"3409",12.58
"3410",12.62
"3411",12.76
"3412",12.73
"3413",12.74
"3414",12.72
"3415",12.66
"3416",12.57
"3417",12.59
"3418",12.72
"3419",12.72
"3420",12.75
"3421",12.74
"3422",12.8
"3423",12.77
"3424",12.68
"3425",12.67
"3426",12.7
"3427",12.69
"3428",12.62
"3429",12.68
"3430",12.75
"3431",12.72
"3432",12.71
"3433",12.78
"3434",12.74
"3435",12.79
"3436",12.78
"3437",12.78
"3438",12.78
"3439",12.79
"3440",12.85
"3441",12.84
"3442",12.85
"3443",12.82
"3444",12.84
"3445",12.91
"3446",12.95
"3447",13.03
"3448",13.03
"3449",13.03
"3450",13.01
"3451",13.13
"3452",13.13
"3453",13.15
"3454",13.14
"3455",13.18
"3456",13.23
"3457",13.24
"3458",13.22
"3459",13.23
"3460",13.13
"3461",13.04
"3462",13.09
"3463",13.21
"3464",13.21
"3465",13.14
"3466",13.19
"3467",13.15
"3468",13.14
"3469",13.07
"3470",12.99
"3471",13.1
"3472",13.17
"3473",13.18
"3474",13.28
"3475",13.29
"3476",13.27
"3477",13.26
"3478",13.3
"3479",13.31
"3480",13.31
"3481",13.3
"3482",13.26
"3483",13.28
"3484",13.31
"3485",13.34
"3486",13.37
"3487",13.49
"3488",13.55
"3489",13.51
"3490",13.41
"3491",13.39
"3492",13.38
"3493",13.35
"3494",13.36
"3495",13.34
"3496",13.37
"3497",13.44
"3498",13.48
"3499",13.51
"3500",13.5
"3501",13.34
"3502",13.16
"3503",13.22
"3504",13.26
"3505",13.28
"3506",13.37
"3507",13.36
"3508",13.42
"3509",13.37
"3510",13.42
"3511",13.35
"3512",13.3
"3513",13.26
"3514",13.12
"3515",13.19
"3516",13.25
"3517",13.28
"3518",13.26
"3519",13.26
"3520",13.3
"3521",13.33
"3522",13.38
"3523",13.42
"3524",13.43
"3525",13.42
"3526",13.36
"3527",13.36
"3528",13.38
"3529",13.3
"3530",13.28
"3531",13.31
"3532",13.39
"3533",13.38
"3534",13.35
"3535",13.39
"3536",13.41
"3537",13.49
"3538",13.52
"3539",13.54
"3540",13.51
"3541",13.5
"3542",13.44
"3543",13.47
"3544",13.5
"3545",13.5
"3546",13.56
"3547",13.68
"3548",13.66
"3549",13.67
"3550",13.65
"3551",13.71
"3552",13.68
"3553",13.7
"3554",13.69
"3555",13.72
"3556",13.71
"3557",13.65
"3558",13.61
"3559",13.67
"3560",13.78
"3561",13.84
"3562",13.92
"3563",13.88
"3564",13.94
"3565",13.92
"3566",13.6
"3567",13.65
"3568",13.65
"3569",13.71
"3570",13.63
"3571",13.63
"3572",13.65
"3573",13.71
"3574",13.73
"3575",13.67
"3576",13.6
"3577",13.69
"3578",13.67
"3579",13.5
"3580",13.55
"3581",13.61
"3582",13.54
"3583",13.53
"3584",13.5
"3585",13.56
"3586",13.64
"3587",13.61
"3588",13.63
"3589",13.55
"3590",13.61
"3591",13.65
"3592",13.65
"3593",13.73
"3594",13.78
"3595",13.79
"3596",13.72
"3597",13.73
"3598",13.73
"3599",13.6
"3600",13.52
"3601",13.45
"3602",13.21
"3603",13.01
"3604",12.99
"3605",12.79
"3606",13.09
"3607",13.1
"3608",13.18
"3609",13.08
"3610",13.12
"3611",13.05
"3612",12.98
"3613",12.98
"3614",12.99
"3615",12.89
"3616",12.85
"3617",12.8
"3618",12.99
"3619",12.99
"3620",13.12
"3621",13.13
"3622",13.06
"3623",13.12
"3624",13.19
