"","TR"
"457",2.36
"458",2.36
"459",2.34
"460",2.33
"461",2.35
"462",2.36
"463",2.35
"464",2.4
"465",2.45
"466",2.46
"467",2.47
"468",2.45
"469",2.44
"470",2.45
"471",2.44
"472",2.44
"473",2.45
"474",2.42
"475",2.39
"476",2.4
"477",2.39
"478",2.41
"479",2.43
"480",2.43
"481",2.46
"482",2.47
"483",2.49
"484",2.51
"485",2.51
"486",2.48
"487",2.49
"488",2.51
"489",2.49
"490",2.48
"491",2.49
"492",2.5
"493",2.48
"494",2.44
"495",2.44
"496",2.44
"497",2.45
"498",2.46
"499",2.45
"500",2.44
"501",2.44
"502",2.44
"503",2.43
"504",2.42
"505",2.43
"506",2.44
"507",2.44
"508",2.39
"509",2.38
"510",2.37
"511",2.38
"512",2.33
"513",2.32
"514",2.29
"515",2.3
"516",2.31
"517",2.33
"518",2.3
"519",2.29
"520",2.3
"521",2.29
"522",2.28
"523",2.27
"524",2.28
"525",2.34
"526",2.37
"527",2.32
"528",2.33
"529",2.3
"530",2.3
"531",2.32
"532",2.27
"533",2.25
"534",2.26
"535",2.26
"536",2.26
"537",2.25
"538",2.25
"539",2.25
"540",2.24
"541",2.21
"542",2.21
"543",2.24
"544",2.24
"545",2.24
"546",2.25
"547",2.24
"548",2.2
"549",2.18
"550",2.17
"551",2.13
"552",2.15
"553",2.16
"554",2.16
"555",2.14
"556",2.15
"557",2.15
"558",2.15
"559",2.17
"560",2.18
"561",2.22
"562",2.24
"563",2.23
"564",2.24
"565",2.22
"566",2.22
"567",2.22
"568",2.22
"569",2.25
"570",2.27
"571",2.27
"572",2.28
"573",2.28
"574",2.3
"575",2.3
"576",2.3
"577",2.29
"578",2.3
"579",2.31
"580",2.31
"581",2.29
"582",2.3
"583",2.32
"584",2.35
"585",2.36
"586",2.34
"587",2.33
"588",2.31
"589",2.31
"590",2.32
"591",2.34
"592",2.34
"593",2.36
"594",2.38
"595",2.36
"596",2.38
"597",2.38
"598",2.36
"599",2.36
"600",2.34
"601",2.32
"602",2.3
"603",2.29
"604",2.3
"605",2.3
"606",2.29
"607",2.27
"608",2.26
"609",2.25
"610",2.24
"611",2.25
"612",2.24
"613",2.21
"614",2.21
"615",2.2
"616",2.18
"617",2.19
"618",2.23
"619",2.2
"620",2.2
"621",2.18
"622",2.16
"623",2.15
"624",2.15
"625",2.17
"626",2.2
"627",2.2
"628",2.19
"629",2.2
"630",2.2
"631",2.19
"632",2.18
"633",2.16
"634",2.15
"635",2.15
"636",2.15
"637",2.18
"638",2.19
"639",2.19
"640",2.2
"641",2.21
"642",2.22
"643",2.21
"644",2.23
"645",2.23
"646",2.23
"647",2.22
"648",2.21
"649",2.19
"650",2.16
"651",2.16
"652",2.15
"653",2.18
"654",2.16
"655",2.13
"656",2.12
"657",2.09
"658",2.08
"659",2.07
"660",2.07
"661",2.06
"662",2.08
"663",2.09
"664",2.18
"665",2.18
"666",2.19
"667",2.26
"668",2.31
"669",2.31
"670",2.36
"671",2.38
"672",2.36
"673",2.37
"674",2.4
"675",2.38
"676",2.42
"677",2.47
"678",2.44
"679",2.46
"680",2.46
"681",2.44
"682",2.46
"683",2.48
"684",2.5
"685",2.49
"686",2.47
"687",2.47
"688",2.51
"689",2.5
"690",2.5
"691",2.49
"692",2.49
"693",2.49
"694",2.46
"695",2.44
"696",2.47
"697",2.46
"698",2.47
"699",2.54
"700",2.6
"701",2.64
"702",2.7
"703",2.71
"704",2.76
"705",2.72
"706",2.7
"707",2.76
"708",2.76
"709",2.81
"710",2.81
"711",2.81
"712",2.71
"713",2.72
"714",2.75
"715",2.72
"716",2.73
"717",2.76
"718",2.8
"719",2.9
"720",2.89
"721",2.9
"722",2.88
"723",2.93
"724",2.9
"725",2.91
"726",2.88
"727",2.83
"728",2.79
"729",2.84
"730",2.85
"731",2.83
"732",2.78
"733",2.76
"734",2.78
"735",2.79
"736",2.78
"737",2.86
"738",2.87
"739",2.87
"740",2.87
"741",2.92
"742",2.94
"743",2.93
"744",2.89
"745",2.88
"746",2.88
"747",2.84
"748",2.79
"749",2.79
"750",2.83
"751",2.81
"752",2.85
"753",2.86
"754",2.87
"755",2.92
"756",2.89
"757",2.9
"758",2.89
"759",2.9
"760",2.86
"761",2.91
"762",2.92
"763",3
"764",3
"765",3.03
"766",3.02
"767",3.04
"768",3.02
"769",3.04
"770",3.05
"771",3.04
"772",3.02
"773",3.04
"774",2.99
"775",2.91
"776",2.94
"777",2.94
"778",2.99
"779",3
"780",3.02
"781",2.98
"782",2.99
"783",3.01
"784",3.05
"785",3.06
"786",3.04
"787",3.03
"788",3.08
"789",3.09
"790",3.12
"791",3.11
"792",3.1
"793",3.09
"794",3.11
"795",3.06
"796",3.09
"797",3.14
"798",3.14
"799",3.11
"800",3.16
"801",3.19
"802",3.22
"803",3.23
"804",3.23
"805",3.19
"806",3.22
"807",3.2
"808",3.19
"809",3.18
"810",3.19
"811",3.16
"812",3.16
"813",3.16
"814",3.18
"815",3.18
"816",3.22
"817",3.23
"818",3.22
"819",3.2
"820",3.2
"821",3.23
"822",3.23
"823",3.23
"824",3.21
"825",3.19
"826",3.2
"827",3.22
"828",3.26
"829",3.28
"830",3.3
"831",3.33
"832",3.35
"833",3.37
"834",3.35
"835",3.39
"836",3.38
"837",3.39
"838",3.36
"839",3.41
"840",3.41
"841",3.44
"842",3.47
"843",3.43
"844",3.43
"845",3.46
"846",3.49
"847",3.53
"848",3.53
"849",3.54
"850",3.52
"851",3.51
"852",3.53
"853",3.5
"854",3.51
"855",3.51
"856",3.49
"857",3.49
"858",3.51
"859",3.56
"860",3.57
"861",3.57
"862",3.55
"863",3.51
"864",3.52
"865",3.54
"866",3.56
"867",3.57
"868",3.54
"869",3.51
"870",3.52
"871",3.54
"872",3.58
"873",3.6
"874",3.63
"875",3.67
"876",3.67
"877",3.67
"878",3.7
"879",3.71
"880",3.7
"881",3.71
"882",3.67
"883",3.6
"884",3.62
"885",3.65
"886",3.67
"887",3.63
"888",3.66
"889",3.65
"890",3.64
"891",3.66
"892",3.61
"893",3.6
"894",3.61
"895",3.58
"896",3.56
"897",3.58
"898",3.67
"899",3.67
"900",3.67
"901",3.68
"902",3.7
"903",3.64
"904",3.59
"905",3.54
"906",3.52
"907",3.52
"908",3.54
"909",3.5
"910",3.51
"911",3.46
"912",3.47
"913",3.5
"914",3.5
"915",3.52
"916",3.55
"917",3.54
"918",3.58
"919",3.55
"920",3.56
"921",3.56
"922",3.53
"923",3.5
"924",3.49
"925",3.51
"926",3.51
"927",3.52
"928",3.56
"929",3.56
"930",3.58
"931",3.64
"932",3.64
"933",3.64
"934",3.64
"935",3.61
"936",3.59
"937",3.6
"938",3.58
"939",3.61
"940",3.65
"941",3.68
"942",3.67
"943",3.69
"944",3.69
"945",3.7
"946",3.66
"947",3.65
"948",3.64
"949",3.62
"950",3.6
"951",3.61
"952",3.64
"953",3.69
"954",3.7
"955",3.73
"956",3.68
"957",3.66
"958",3.67
"959",3.67
"960",3.67
"961",3.62
"962",3.59
"963",3.59
"964",3.57
"965",3.57
"966",3.58
"967",3.56
"968",3.55
"969",3.52
"970",3.52
"971",3.52
"972",3.55
"973",3.53
"974",3.51
"975",3.49
"976",3.49
"977",3.53
"978",3.54
"979",3.58
"980",3.59
"981",3.57
"982",3.59
"983",3.59
"984",3.58
"985",3.6
"986",3.61
"987",3.61
"988",3.62
"989",3.61
"990",3.64
"991",3.62
"992",3.62
"993",3.6
"994",3.6
"995",3.59
"996",3.6
"997",3.58
"998",3.58
"999",3.59
"1000",3.58
"1001",3.54
"1002",3.51
"1003",3.52
"1004",3.52
"1005",3.52
"1006",3.54
"1007",3.54
"1008",3.54
"1009",3.56
"1010",3.57
"1011",3.57
"1012",3.58
"1013",3.56
"1014",3.61
"1015",3.66
"1016",3.67
"1017",3.67
"1018",3.65
"1019",3.65
"1020",3.65
"1021",3.63
"1022",3.63
"1023",3.64
"1024",3.64
"1025",3.63
"1026",3.61
"1027",3.58
"1028",3.59
"1029",3.57
"1030",3.55
"1031",3.54
"1032",3.51
"1033",3.52
"1034",3.5
"1035",3.51
"1036",3.47
"1037",3.41
"1038",3.42
"1039",3.36
"1040",3.34
"1041",3.36
"1042",3.33
"1043",3.36
"1044",3.36
"1045",3.35
"1046",3.35
"1047",3.32
"1048",3.32
"1049",3.31
"1050",3.38
"1051",3.42
"1052",3.37
"1053",3.38
"1054",3.4
"1055",3.43
"1056",3.4
"1057",3.37
"1058",3.33
"1059",3.34
"1060",3.33
"1061",3.36
"1062",3.38
"1063",3.38
"1064",3.39
"1065",3.43
"1066",3.4
"1067",3.42
"1068",3.41
"1069",3.38
"1070",3.38
"1071",3.38
"1072",3.38
"1073",3.43
"1074",3.43
"1075",3.43
"1076",3.41
"1077",3.39
"1078",3.39
"1079",3.34
"1080",3.34
"1081",3.34
"1082",3.35
"1083",3.33
"1084",3.38
"1085",3.38
"1086",3.39
"1087",3.41
"1088",3.39
"1089",3.39
"1090",3.37
"1091",3.39
"1092",3.4
"1093",3.44
"1094",3.43
"1095",3.44
